Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P FGA,0-3 FGA,3-10 FGA,10-16 FGA,16-3P FGA,3P FGA,2P FG,0-3 FG,3-10 FG,10-16 FG,16-3P,3P FG,2P Assist,3P Assist ,%FGA Dunks,Total Dunks,%3PA Corner,3P% Corner
23,Austin Reaves,26,LAL,SG,73,73,2550,0.46,17.1,0.488,0.142,0.211,0.107,0.028,0.512,0.547,0.748,0.484,0.45,0.379,0.377,0.44,0.72,0.007,7,0.122,0.446
24,Toumani Camara,24,POR,PF,78,78,2548,0.458,14,0.497,0.289,0.198,0.008,0.001,0.503,0.542,0.652,0.401,0.167,0,0.375,0.658,0.956,0.084,49,0.419,0.358
25,Pascal Siakam,30,IND,PF,78,78,2548,0.519,12.4,0.726,0.218,0.258,0.179,0.071,0.274,0.568,0.771,0.544,0.441,0.345,0.389,0.589,0.976,0.041,45,0.29,0.404
26,Brook Lopez,36,MIL,C,80,80,2546,0.509,16,0.518,0.229,0.151,0.109,0.03,0.482,0.636,0.78,0.59,0.464,0.391,0.373,0.745,0.986,0.071,52,0.097,0.583
27,Karl-Anthony Towns,29,NYK,C,72,72,2517,0.526,10.8,0.722,0.353,0.277,0.058,0.035,0.278,0.567,0.695,0.476,0.4,0.262,0.42,0.586,0.972,0.071,76,0.062,0.333
28,Bub Carrington,19,WAS,PG,82,57,2458,0.401,19.1,0.456,0.102,0.114,0.102,0.139,0.544,0.475,0.553,0.353,0.553,0.462,0.339,0.481,0.667,0.027,18,0.135,0.327
29,Cade Cunningham,23,DET,PG,70,70,2452,0.469,12.6,0.713,0.167,0.362,0.129,0.056,0.287,0.515,0.605,0.497,0.479,0.444,0.356,0.228,0.57,0.033,39,0.048,0.4
30,Tyrese Haliburton,24,IND,PG,73,73,2451,0.473,19.3,0.441,0.101,0.14,0.107,0.092,0.559,0.581,0.725,0.582,0.546,0.462,0.388,0.391,0.528,0.024,22,0.073,0.439
31,Coby White,24,CHI,SG,74,73,2450,0.453,16.6,0.479,0.224,0.153,0.06,0.043,0.521,0.544,0.669,0.456,0.507,0.25,0.37,0.336,0.759,0.01,8,0.135,0.38
32,LeBron James,40,LAL,SF,70,70,2444,0.513,13.4,0.688,0.242,0.23,0.113,0.104,0.312,0.574,0.782,0.473,0.503,0.394,0.376,0.382,0.691,0.056,71,0.088,0.343
33,Domantas Sabonis,28,SAC,C,70,70,2429,0.59,8.1,0.825,0.43,0.306,0.044,0.047,0.175,0.627,0.708,0.56,0.462,0.452,0.417,0.63,0.985,0.097,80,0.051,0.5
34,Jamal Murray,27,DEN,PG,67,67,2418,0.474,15.6,0.646,0.155,0.175,0.153,0.163,0.354,0.518,0.667,0.485,0.468,0.459,0.393,0.355,0.615,0.012,13,0.093,0.378
35,Alperen Şengün,22,HOU,C,76,76,2395,0.496,7.5,0.921,0.319,0.405,0.164,0.033,0.079,0.519,0.679,0.454,0.396,0.368,0.233,0.473,0.952,0.067,65,0.067,0.333
36,Dillon Brooks,29,HOU,SF,75,75,2388,0.429,17.3,0.476,0.127,0.155,0.135,0.058,0.524,0.465,0.544,0.475,0.372,0.481,0.397,0.444,0.962,0.019,15,0.23,0.38
37,Rudy Gobert,32,MIN,C,72,72,2388,0.669,2.4,1,0.757,0.218,0.022,0.004,0,0.669,0.79,0.324,0,0,,0.707,,0.494,225,,
38,Tobias Harris,32,DET,PF,73,73,2305,0.477,13.1,0.672,0.168,0.293,0.168,0.043,0.328,0.542,0.77,0.475,0.489,0.314,0.345,0.539,0.934,0.075,56,0.447,0.39
39,Darius Garland,25,CLE,PG,75,75,2301,0.472,16.3,0.549,0.148,0.193,0.147,0.06,0.451,0.53,0.649,0.485,0.549,0.338,0.401,0.33,0.571,0.002,1,0.151,0.4
40,Jalen Brunson,28,NYK,PG,65,65,2301,0.488,14.2,0.669,0.149,0.255,0.181,0.084,0.331,0.539,0.676,0.497,0.525,0.455,0.383,0.236,0.461,0,0,0.144,0.404
