Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
557,Cui Yongxi,21,BRK,SG,5,0,10,0.143,0.25,0,0.143,0.5,0.19,0.286,0.429,31,46,0,26,64,33,118,102,-5.6,-6.1
558,Mac McClung,26,ORL,SG,2,0,10,0,0,0,0,,0,0,0.5,0,0,0,0,,0,0,119,-2.2,-2.3
559,Quincy Olivari,23,LAL,PG,2,0,10,0.2,,0.2,0.3,,0.3,0,1,43,,56,55,,52,0,237,-2.4,-2.8
560,Terence Davis,27,SAC,SG,1,0,8,0,0,0,0,,0,0,0.5,0,0,0,0,,0,0,119,-2.2,-2.3
561,Jalen McDaniels,27,WAS,SF,4,0,7,,,,,,,,,,,,,,,,,0,0
562,Riley Minix,24,SAS,SF,1,0,7,0,,0,0,,0,0,1,0,,0,0,,0,0,237,-1.1,-1.2
563,Isaiah Stevens,24,MIA,PG,3,0,6,0,0,0,0,,0,0,0.5,0,0,0,0,,0,0,119,-2.2,-2.3
564,Terry Taylor,25,SAC,PF,3,0,6,0,0,,0,,0,0,0,0,0,,0,,0,0,0,-1.1,-1.2
565,Jesse Edwards,24,MIN,C,2,0,5,,,,,,,,,,,,,,,,,0,0
566,James Wiseman,23,IND,C,1,0,5,0.5,0.667,0,0.5,1,0.615,0.5,0.25,107,122,0,92,128,107,206,59,-0.3,0.4
567,Alondes Williams,25,DET,SG,1,0,4,1,1,1,1.25,,1.25,0,0.5,214,183,278,230,,217,0,119,2.8,2.7
568,Zyon Pullin,23,MEM,SG,3,0,3,0,0,,0,,0,0,0,0,0,,0,,0,0,0,-1.1,-1.2
569,Jahlil Okafor,29,IND,C,1,0,3,,,,,,,,,,,,,,,,,0,0
